Year,Capital,Equipment,Renovation,Permits,Rent,Ingredients,Utilities,Staff Income,Other Monthly Expense
2027,3605999,1430454,1430454,54636,75333,317863,95382,170854,31023
2027,3660635,1452805,1452805,54636,76502,322830,96872,172841,31345
2027,3715272,1475155,1475155,54636,77671,327796,98363,174828,31667
2027,3769908,1497506,1497506,54636,78840,332763,99853,176814,31990
2027,3824545,1519857,1519857,54636,80009,337729,101344,178801,32312
2027,3879181,1542207,1542207,54636,81179,342696,102834,180787,32634
2027,3933817,1564558,1564558,54636,82348,347662,104325,182774,32957
2027,3988454,1586908,1586908,54636,83517,352628,105815,184760,33279
2027,4043090,1609259,1609259,54636,84686,357595,107306,186747,33601
2027,4097726,1631610,1631610,54636,85856,362561,108796,188734,33924
2027,4152363,1653960,1653960,54636,87025,367528,110287,190720,34246
2027,4206999,1676311,1676311,54636,88194,372494,111777,192707,34568
2027,4261635,1698662,1698662,54636,89363,377461,113268,194693,34891
2027,4316272,1721012,1721012,54636,90532,382427,114758,196680,35213
2027,4370908,1743363,1743363,54636,91702,387394,116249,198667,35535
2027,4425544,1765714,1765714,54636,92871,392360,117739,200653,35858
2027,4480181,1788064,1788064,54636,94040,397326,119230,202640,36180
2027,4534817,1810415,1810415,54636,95209,402293,120720,204626,36503
2027,4589453,1832765,1832765,54636,96379,407259,122211,206613,36825
2027,4644090,1855116,1855116,54636,97548,412226,123701,208599,37147
2027,4698726,1877467,1877467,54636,98717,417192,125192,210586,37470
2027,4753362,1899817,1899817,54636,99886,422159,126682,212573,37792
2027,4807999,1922168,1922168,54636,101055,427125,128173,214559,38114
2027,4862635,1944519,1944519,54636,102225,432092,129663,216546,38437
2027,4917272,1966869,1966869,54636,103394,437058,131153,218532,38759
2027,4971908,1989220,1989220,54636,104563,442024,132644,220519,39081
2027,5026544,2011571,2011571,54636,105732,446991,134134,222505,39404
2027,5081181,2033921,2033921,54636,106901,451957,135625,224492,39726
2027,5135817,2056272,2056272,54636,108071,456924,137115,226479,40048
2027,5190453,2078622,2078622,54636,109240,461890,138606,228465,40371
2027,5245090,2100973,2100973,54636,110409,466857,140096,230452,40693
2027,5299726,2123324,2123324,54636,111578,471823,141587,232438,41016
2027,5354362,2145674,2145674,54636,112748,476790,143077,234425,41338
2027,5408999,2168025,2168025,54636,113917,481756,144568,236411,41660
2027,5463635,2190376,2190376,54636,115086,486722,146058,238398,41983
2027,5518271,2212726,2212726,54636,116255,491689,147549,240385,42305
2027,5572908,2235077,2235077,54636,117424,496655,149039,242371,42627
2027,5627544,2257428,2257428,54636,118594,501622,150530,244358,42950
2027,5682180,2279778,2279778,54636,119763,506588,152020,246344,43272
2027,5736817,2302129,2302129,54636,120932,511555,153511,248331,43594
2027,5791453,2324479,2324479,54636,122101,516521,155001,250318,43917
2027,5846089,2346830,2346830,54636,123271,521488,156492,252304,44239
2027,5900726,2369181,2369181,54636,124440,526454,157982,254291,44561
2027,5955362,2391531,2391531,54636,125609,531420,159473,256277,44884
2027,6009999,2413882,2413882,54636,126778,536387,160963,258264,45206
2027,6064635,2436233,2436233,54636,127947,541353,162454,260250,45528
2027,6119271,2458583,2458583,54636,129117,546320,163944,262237,45851
