Year,Capital,Equipment,Renovation,Permits,Rent,Ingredients,Utilities,Staff Income,Other Monthly Expense
2028,5740050,2302111,2302111,56275,120946,511551,153509,249640,43906
2028,5796325,2325132,2325132,56275,122151,516666,155044,251687,44238
2028,5852600,2348153,2348153,56275,123355,521782,156580,253733,44570
2028,5908875,2371174,2371174,56275,124559,526897,158115,255779,44902
2028,5965150,2394195,2394195,56275,125763,532013,159650,257825,45234
2028,6021425,2417216,2417216,56275,126968,537128,161185,259871,45566
2028,6077700,2440237,2440237,56275,128172,542243,162720,261917,45898
2028,6133975,2463258,2463258,56275,129376,547359,164255,263964,46230
2028,6190250,2486279,2486279,56275,130581,552474,165791,266010,46562
2028,6246525,2509300,2509300,56275,131785,557590,167326,268056,46894
2028,6302800,2532321,2532321,56275,132989,562705,168861,270102,47226
